epoch;accuracy;loss
0;0.6992101669311523;1.122631549835205
1;0.8066635727882385;0.6184294819831848
2;0.8236543536186218;0.5354259014129639
3;0.8337868452072144;0.49031734466552734
4;0.8396716713905334;0.4625559151172638
5;0.8449591994285583;0.441961407661438
6;0.8465963006019592;0.428254097700119
7;0.8488971590995789;0.4170236587524414
8;0.8497599363327026;0.40844038128852844
9;0.8514634370803833;0.401679664850235
10;0.8515519499778748;0.39483773708343506
11;0.8526802659034729;0.3906208872795105
12;0.8546492457389832;0.38596200942993164
13;0.85453861951828;0.38201719522476196
14;0.8558881282806396;0.3791179060935974
15;0.854118287563324;0.376331627368927
16;0.8566182255744934;0.37409645318984985
17;0.856950044631958;0.37189581990242004
18;0.855866014957428;0.3695465922355652
19;0.8570385575294495;0.3677385151386261
20;0.8590517640113831;0.36611208319664
21;0.8577907681465149;0.3647233247756958
22;0.8572155237197876;0.3642919659614563
23;0.8572598099708557;0.36330294609069824
24;0.8584986925125122;0.3613990247249603
