epoch;accuracy;loss;val_accuracy;val_loss
0;0.7208378911018372;1.0062329769134521;0.2330436408519745;5.166057109832764
1;0.8058112859725952;0.6045584678649902;0.24266427755355835;5.6611833572387695
2;0.8224300742149353;0.5335057377815247;0.24138152599334717;5.997493267059326
3;0.8320804238319397;0.493848592042923;0.22220440208911896;6.194890022277832
4;0.8379508256912231;0.4672083258628845;0.2361222505569458;6.454866886138916
5;0.8399357795715332;0.45018619298934937;0.24138152599334717;6.608189582824707
6;0.8425753712654114;0.43641600012779236;0.2398422211408615;6.688991069793701
7;0.8445603251457214;0.42617878317832947;0.2295481562614441;6.724278926849365
8;0.8462285399436951;0.41728612780570984;0.23958566784858704;6.883856773376465
9;0.8480234742164612;0.41070735454559326;0.2416059970855713;6.977126121520996
